Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,CLTV,Contract,Internet Service,Internet Type,Monthly Charge,Multiple Lines,Phone Service,Population,Satisfaction Score,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Unlimited Data,Churn
72,4.0,19.44,4849,Two Year,1,Fiber Optic,88.4,0,1,37926,3,1,1,0,25,2191.15,0.0,486.0,2677.15,1,1
27,59.0,45.62,3715,Month-to-Month,1,Fiber Optic,95.5,1,1,4610,3,0,0,1,35,3418.2,0.0,1596.7,5014.9,1,1
59,0.0,16.07,5092,Month-to-Month,0,Fiber Optic,19.6,0,1,4563,5,0,0,0,46,851.2,0.0,739.22,1590.42,0,1
25,27.0,0.0,2068,One Year,1,DSL,45.85,0,0,1408,4,1,1,0,27,1246.4,30.0,0.0,1276.4,0,1
31,21.0,17.22,4026,One Year,1,Cable,60.3,0,1,29914,2,0,0,0,58,3563.8,0.0,998.76,4562.56,1,0
32,30.0,11.94,5351,Month-to-Month,1,Cable,100.95,1,1,40611,1,1,1,1,3,329.95,10.0,35.82,375.77,0,0
36,8.0,10.23,5436,Month-to-Month,1,Fiber Optic,89.25,0,1,6448,3,1,1,0,24,2210.2,0.0,245.52,2455.72,1,1
48,16.0,8.98,5413,Month-to-Month,1,Fiber Optic,100.55,1,1,32143,2,0,0,1,63,6215.35,0.0,565.74,6781.09,0,0
72,14.0,44.81,5388,Two Year,1,Fiber Optic,111.65,1,1,2966,5,1,0,1,72,7943.45,0.0,3226.32,11169.77,1,0
54,12.0,14.88,3172,Month-to-Month,1,DSL,60.95,1,1,28201,4,0,0,0,2,134.6,0.0,29.76,164.36,1,0
67,22.0,44.26,2364,One Year,1,Fiber Optic,90.7,1,1,8316,3,0,0,1,31,2835.5,0.0,1372.06,4207.56,1,0
79,2.0,32.62,2901,Two Year,1,Fiber Optic,69.3,0,1,23637,4,0,0,0,2,153.8,0.0,65.24,219.04,1,0
20,71.0,26.64,4515,One Year,1,DSL,73.05,0,1,1666,3,1,1,1,64,4688.65,0.0,1704.96,6393.61,1,0
30,30.0,26.26,2876,Month-to-Month,1,Fiber Optic,69.55,0,1,9318,1,0,0,0,3,222.3,0.0,78.78,301.08,1,1
72,23.0,11.86,4143,Two Year,1,Cable,54.55,0,1,826,4,0,0,0,11,601.25,0.0,130.46,731.71,1,0
62,7.0,30.61,3182,Month-to-Month,1,Fiber Optic,76.65,0,1,11168,2,0,0,0,17,1313.55,0.0,520.37,1833.92,1,1
71,13.0,19.14,5061,One Year,1,Fiber Optic,94.05,1,1,36149,3,0,0,0,59,5483.9,30.0,1129.26,6643.16,0,0
48,9.0,27.41,4114,Two Year,1,DSL,70.9,1,1,49975,4,0,0,0,68,4911.35,0.0,1863.88,6725.86,1,0
22,59.0,2.73,4237,Two Year,1,DSL,81.0,1,1,34138,3,1,1,0,72,5750.0,0.0,196.56,5946.56,1,0
38,20.0,27.89,2699,Month-to-Month,1,Fiber Optic,70.05,0,1,23646,2,0,0,0,1,70.05,0.0,27.89,97.94,1,1
46,0.0,43.8,4691,One Year,0,Fiber Optic,19.75,0,1,43712,4,0,0,0,32,624.15,0.0,1401.6,2025.75,0,0
