Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,City,CLTV,Contract,Country,Customer ID,Customer Status,Dependents,Device Protection Plan,Gender,Internet Service,Internet Type,Lat Long,Latitude,Longitude,Married,Monthly Charge,Multiple Lines,Number of Dependents,Number of Referrals,Offer,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Population,Premium Tech Support,Quarter,Referred a Friend,Satisfaction Score,Senior Citizen,State,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Total Revenue,Under 30,Unlimited Data,Zip Code,Churn
72,4,19.44,San Mateo,4849,Two Year,United States,4526-ZJJTM,Stayed,0,1,Female,1,3,"37.538309, -122.305109",37.538309,-122.305109,1,88.4,0,0,1,,1,0,0,1,Bank Withdrawal,1,37926,0,Q3,1,3,1,California,1,1,0,25,2191.15,0,486,0,2677.15,0,1,94403,1
27,59,45.62,Sutter Creek,3715,Month-to-Month,United States,5302-BDJNT,Stayed,0,1,Male,1,3,"38.432145, -120.77069",38.432145,-120.77069,0,95.5,1,0,0,,0,0,0,0,Bank Withdrawal,1,4610,1,Q3,0,3,0,California,0,0,1,35,3418.2,0,1596.7,0,5014.9,1,1,95685,1
59,0,16.07,Santa Cruz,5092,Month-to-Month,United States,5468-BPMMO,Stayed,0,0,Male,0,,"37.007882, -122.065975",37.007882,-122.065975,1,19.6,0,0,3,,0,0,0,1,Bank Withdrawal,1,4563,0,Q3,1,5,0,California,0,0,0,46,851.2,0,739.22,0,1590.42,0,0,95064,1
25,27,0,Brea,2068,One Year,United States,2212-LYASK,Stayed,0,1,Male,1,2,"33.924143, -117.79387",33.924143,-117.79387,1,45.85,0,0,3,,1,0,1,1,Credit Card,0,1408,0,Q3,1,4,0,California,1,1,0,27,1246.4,30,0,0,1276.4,1,0,92823,1
31,21,17.22,San Jose,4026,One Year,United States,0378-XSZPU,Churned,0,1,Male,1,1,"37.311088, -121.961786",37.311088,-121.961786,1,60.3,0,0,1,Offer B,1,1,0,1,Credit Card,1,29914,0,Q3,1,2,0,California,0,0,0,58,3563.8,0,998.76,0,4562.56,0,1,95117,0
32,30,11.94,Stockton,5351,Month-to-Month,United States,6023-YEBUP,Churned,0,1,Male,1,1,"38.033219, -121.297433",38.033219,-121.297433,0,100.95,1,0,0,Offer E,0,0,1,0,Bank Withdrawal,1,40611,0,Q3,0,1,0,California,1,1,1,3,329.95,10,35.82,0,375.77,0,0,95210,0
36,8,10.23,San Quentin,5436,Month-to-Month,United States,7030-NJVDP,Stayed,0,0,Male,1,3,"37.942551, -122.491642",37.942551,-122.491642,1,89.25,0,0,2,,0,1,1,1,Bank Withdrawal,1,6448,1,Q3,1,3,0,California,1,1,0,24,2210.2,0,245.52,0,2455.72,0,1,94964,1
48,16,8.98,Mountain View,5413,Month-to-Month,United States,7549-MYGPK,Churned,0,1,Female,1,3,"37.380662, -122.086022",37.380662,-122.086022,1,100.55,1,0,3,Offer B,1,1,1,1,Bank Withdrawal,1,32143,0,Q3,1,2,0,California,0,0,1,63,6215.35,0,565.74,0,6781.09,0,0,94040,0
72,14,44.81,Somis,5388,Two Year,United States,2469-DTSGX,Stayed,0,1,Female,1,3,"34.297628, -119.014627",34.297628,-119.014627,0,111.65,1,0,0,Offer A,1,0,0,0,Bank Withdrawal,1,2966,1,Q3,0,5,1,California,1,0,1,72,7943.45,0,3226.32,0,11169.77,0,1,93066,0
54,12,14.88,San Diego,3172,Month-to-Month,United States,3090-LETTY,Joined,1,0,Male,1,2,"32.957195, -117.202542",32.957195,-117.202542,0,60.95,1,2,0,,1,1,0,0,Bank Withdrawal,1,28201,0,Q3,0,4,0,California,0,0,0,2,134.6,0,29.76,0,164.36,0,1,92130,0
67,22,44.26,California City,2364,One Year,United States,6486-LHTMA,Stayed,0,1,Female,1,3,"35.151491, -117.927597",35.151491,-117.927597,1,90.7,1,0,1,,0,0,1,1,Bank Withdrawal,1,8316,0,Q3,1,3,1,California,0,0,1,31,2835.5,0,1372.06,0,4207.56,0,1,93505,0
79,2,32.62,West Hills,2901,Two Year,United States,9799-CAYJJ,Joined,0,0,Female,1,3,"34.199787, -118.68493",34.199787,-118.68493,1,69.3,0,0,1,Offer E,0,0,1,1,Bank Withdrawal,1,23637,0,Q3,1,4,1,California,0,0,0,2,153.8,0,65.24,0,219.04,0,1,91307,0
20,71,26.64,Willow Creek,4515,One Year,United States,7690-KPNCU,Stayed,0,1,Male,1,2,"40.949012, -123.655847",40.949012,-123.655847,1,73.05,0,0,5,Offer B,0,1,1,1,Credit Card,1,1666,0,Q3,1,3,0,California,1,1,1,64,4688.65,0,1704.96,0,6393.61,1,1,95573,0
30,30,26.26,Earlimart,2876,Month-to-Month,United States,9576-ANLXO,Churned,0,0,Female,1,3,"35.858054, -119.305858",35.858054,-119.305858,0,69.55,0,0,0,,0,0,1,0,Bank Withdrawal,1,9318,0,Q3,0,1,0,California,0,0,0,3,222.3,0,78.78,0,301.08,0,1,93219,1
72,23,11.86,Bridgeport,4143,Two Year,United States,1089-HDMKP,Stayed,1,0,Male,1,1,"38.184583, -119.286558",38.184583,-119.286558,0,54.55,0,1,0,,1,0,1,0,Bank Withdrawal,1,826,1,Q3,0,4,1,California,0,0,0,11,601.25,0,130.46,0,731.71,0,1,93517,0
62,7,30.61,Magalia,3182,Month-to-Month,United States,1092-GANHU,Churned,0,1,Male,1,3,"39.933852, -121.584371",39.933852,-121.584371,0,76.65,0,0,0,,0,0,1,0,Bank Withdrawal,1,11168,0,Q3,0,2,0,California,0,0,0,17,1313.55,0,520.37,0,1833.92,0,1,95954,1
71,13,19.14,Murrieta,5061,One Year,United States,2931-VUVJN,Stayed,0,1,Female,1,3,"33.548869, -117.334165",33.548869,-117.334165,1,94.05,1,0,0,,1,1,1,1,Bank Withdrawal,1,36149,1,Q3,0,3,1,California,0,0,0,59,5483.9,30,1129.26,0,6643.16,0,0,92562,0
